name,weight
MATTHIS,3044
FRANCESCO,3032
STANLEY,3023
SERAPHIN,3022
ROCH,3014
MAXIM,3008
MUHAMMED,2997
YOUNESS,2996
FAYCAL,2993
ALLAIN,2991
STEFAN,2984
RIAD,2978
RABAH,2969
KAMAL,2965
WYATT,2956
LOUP,2949
OUSSAMA,2939
JEAN-DANIEL,2927
LOUCAS,2923
MAROUANE,2922
JAYSON,2906
JORDANE,2891
ULRICH,2880
MATISSE,2877
ABDELLAH,2876
NAÏL,2876
WILSON,2870
WILLIAMS,2867
JAROD,2863
CALIXTE,2862
LEWIS,2862
ADAMA,2854
TYLER,2850
TERENCE,2848
MATT,2847
RAYNALD,2839
NOHA,2838
AKSEL,2837
CÉLESTIN,2835
TILIO,2831
VLADIMIR,2831
JIM,2829
SLIMANE,2826
DANNY,2820
EMRE,2813
ÉRIC,2811
ERWIN,2805
FORTUNE,2805
MEDERIC,2798
JASSIM,2789
AISSA,2782
ADRIANO,2758
ZAKARIYA,2750
ABRAHAM,2749
AYMANE,2747
CHAHINE,2742
ZAYD,2737
BILLY,2721
AHMET,2720
BRIEUC,2715
HERMANN,2706
MIKAIL,2686
ÉLIO,2675
MATEO,2673
SONNY,2667
MAHDI,2664
IYED,2662
KELIAN,2660
LIONNEL,2659
SEAN,2654
JACKI,2645
MAYEUL,2637
NOAN,2634
JORGE,2621
ÉMILE,2621
HICHEM,2619
ELLIOTT,2618
BASTIAN,2614
ALOYSE,2593
LOICK,2593
ALEXANDER,2584
JEFFREY,2582
REDOUANE,2577
MALEK,2573
KILYAN,2564
ARNOLD,2561
NEIL,2553
YANICK,2549
ARON,2536
FREDY,2533
ZIYAD,2532
ZACHARY,2531
TIMOTHY,2528
FILIPE,2526
MATIAS,2522
YAHYA,2521
TONI,2508
EZRA,2505
FAUSTIN,2501
TAREK,2494
CÉLIAN,2490
CAMIL,2485
BRADLEY,2483
VINCENZO,2482
BRUCE,2481
GIUSEPPE,2474
LEONARDO,2471
MATTIA,2462
MERLIN,2462
MOUSTAPHA,2450
LYES,2430
ABDELKRIM,2427
ILYÈS,2425
ELVIS,2422
ANASS,2420
ENRIQUE,2417
LOUKAS,2417
WISSEM,2410
BACHIR,2406
MIKAËL,2405
FRANCO,2392
GABY,2383
MYLANN,2381
CHERIF,2376
JULIO,2376
SAAD,2374
AKRAM,2368
EREN,2364
SEVERIN,2364
MATTIS,2357
MOHAMED-ALI,2352
NESTOR,2340
JEAN-PATRICK,2336
SULLY,2333
PIERROT,2331
ABOUBACAR,2328
ELOAN,2322
ZAKARYA,2320
JUDICAEL,2319
YLANN,2313
ZINEDINE,2305
VITAL,2302
ABDELAZIZ,2297
ZACK,2296
ISLEM,2292
PIERRE-HENRI,2292
TYLIO,2288
LAMINE,2283
QASSIM,2280
YANISS,2278
ÉTHAN,2277
TOBIAS,2276
MOUHAMED,2275
CURTIS,2268
MILHAN,2265
RENAN,2265
ANICET,2260
RENALD,2257
EYDEN,2250
JOE,2245
SANDY,2245
ARNO,2238
BALTHAZAR,2230
PIERRE-OLIVIER,2230
DARIUS,2227
JOHNY,2224
MARK,2208
ÉDEN,2205
GAYLORD,2194
JEAN-DENIS,2190
NIZAR,2188
ALBERTO,2186
MEHDY,2185
HANS,2184
ZIAD,2174
HAMED,2171
OLIVER,2162
EWENN,2161
LÉNY,2160
ACHRAF,2150
MAYLONE,2146
WAËL,2146
GERAUD,2136
THÉOPHILE,2130
JÉROME,2128
MANOA,2128
BADIS,2117
ADONIS,2114
MANOÉ,2103
THIMÉO,2103
